source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Overclockers.ru'}",Nacvark,В Индии темпы найма специалистов по ИИ опережают общие темпы найма в IT-сфере,"Компании больше всего заинтересованы в сотрудниках, чья работа связана с развитием и использованием ИИ",https://overclockers.ru/blog/Nacvark/show/258960/V-Indii-tempy-najma-specialistov-po-II-operezhajut-obschie-tempy-najma-v-IT-sfere,https://overclockers.ru/st/r/1200/-/legacy/blog/397747/739064_O.png,2026-07-04 00:58:15+00:00,"() , IT- . JobSpeak, Naukri, , , 16% . - 3%, . : Reuters 
 URL , - , 315 , - .  , - , .
 -, . - , IT-, Tata Consultancy Services."
"{'id': None, 'name': 'CNA'}",Unknown,India's HCLTech beats first-quarter revenue estimates,"BENGALURU, July 13 : Indian software services exporter HCLTech beat analysts' expectations for first-quarter revenue on Monday, buoyed by strength in its financial services, technology and retail segments.The country's third-largest IT services firm posted a …",https://www.channelnewsasia.com/business/indias-hcltech-beats-first-quarter-revenue-estimates-financial-services-strength-6251146,"https://dam.mediacorp.sg/image/upload/s--fMQrzMs---/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-13T121924Z_1_LYNXMPEM6C0NC_RTROPTP_3_HCLTECH-RESULTS.JPG?itok=Qnf0eZgV",2026-07-13 12:19:24+00:00,"BENGALURU, July 13 : Indian software services exporter HCLTech beat analysts' expectations for first-quarter revenue on Monday, buoyed by strength in its financial services, technology and retail seg… [+1529 chars]"
"{'id': None, 'name': 'BusinessLine'}",Reuters,"Tata Consultancy Services plans up to 8,900 AI deployment engineers, seeks AI acquisitions","TCS is increasing its investment in AI talent and acquisitions to tackle IT service disruptions, emphasizing the need for skilled engineers to integrate AI solutions for clients",https://www.thehindubusinessline.com/info-tech/tata-consultancy-services-plans-up-to-8900-ai-deployment-engineers-seeks-ai-acquisitions/article71213514.ece,https://bl-i.thgim.com/public/incoming/iwrb2m/article71213571.ece/alternates/LANDSCAPE_1200/2026-07-10T035057Z_703898560_RC2NF5A00WAO_RTRMADP_3_TCS-STOCKS.JPG,2026-07-12 09:13:29+00:00,"Tata Consultancy Services is building a team of up to 8,900 forward-deployed engineers and hunting for AI acquisitions as it bets artificial intelligence will create new business rather than undermin… [+2500 chars]"
"{'id': None, 'name': 'BusinessLine'}",Vallari Sanzgiri,TCS to take on larger share of AI model and inference costs for project deployment,"Tata Consultancy Services (TCS) is beginning to shoulder a larger share of the infrastructure costs involved in deploying artificial intelligence solutions, signalling a shift in how IT services companies are commercialising enterprise AI.",https://www.thehindubusinessline.com/info-tech/tcs-to-take-on-larger-share-of-ai-model-and-inference-costs-for-project-deployment/article71216048.ece,https://bl-i.thgim.com/public/incoming/qbxvyx/article71216141.ece/alternates/LANDSCAPE_1200/iStock-2251786934.jpg,2026-07-13 05:52:24+00:00,"Tata Consultancy Services (TCS) is beginning to shoulder a larger share of the infrastructure costs involved in deploying artificial intelligence solutions, signalling a shift in how IT services comp… [+2423 chars]"
"{'id': None, 'name': '4sysops.com'}",IT News,Specialized AI roles surge in India while traditional IT recruitment declines,"India's information technology sector is experiencing a significant shift in hiring priorities as companies prioritize specialized artificial intelligence talent. While overall IT job listings fell by 3% in June, recruitment for AI-specific roles grew by 16% …",https://4sysops.com/archives/specialized-ai-roles-surge-in-india-while-traditional-it-recruitment-declines/,https://4sysops.com/wp-content/uploads/2026/07/specialized-ai-roles-surge-in-india-while-traditional-it-recruitment-declines.jpg,2026-07-06 21:55:16+00:00,"The demand for AI expertise is expanding beyond software services into sectors like insurance and consumer goods. Across 14 different industries, hiring for AI and machine learning positions saw a co… [+759 chars]"
"{'id': None, 'name': 'Crypto Briefing'}",Editorial Team,"Tata Consultancy Services plans 8,900 AI deployment engineers, seeks acquisitions","TCS's strategic shift towards AI and acquisitions signals intensified competition in AI services, potentially reshaping industry dynamics.
The post Tata Consultancy Services plans 8,900 AI deployment engineers, seeks acquisitions appeared first on Crypto Brie…",https://cryptobriefing.com/tcs-ai-engineers-acquisitions/,https://static.cryptobriefing.com/wp-content/uploads/2026/07/12063515/tata-consultancy-services-wikip-dia-800x420.jpeg,2026-07-12 10:35:18+00:00,"India's largest IT outsourcer is betting big on AI integration talent while pivoting from its decades-long organic growth playbook Tata Consultancy Services is planning to hire up to 8,900 forward-de… [+1605 chars]"
"{'id': None, 'name': 'CNA'}",Unknown,"Infosys names insider Ashiss Kumar Dash next CEO, trims annual growth forecast","BENGALURU, July 23 : Infosys named company veteran Ashiss Kumar Dash as its next CEO on Thursday, tapping a three-decade insider to lead India's No. 2 IT firm through an AI-driven upheaval reshaping the technology services industry.Dash, who heads the company…",https://www.channelnewsasia.com/business/infosys-names-insider-ashiss-kumar-dash-next-ceo-trims-annual-growth-forecast-6273531,"https://dam.mediacorp.sg/image/upload/s--qXIgPEOa--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-23T110753Z_1_LYNXMPEM6M11B_RTROPTP_3_INDIA-AI.JPG?itok=YRxqXgAq",2026-07-23 11:07:53+00:00,"BENGALURU, July 23 : Infosys named company veteran Ashiss Kumar Dash as its next CEO on Thursday, tapping a three-decade insider to lead India's No. 2 IT firm through an AI-driven upheaval reshaping … [+1564 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Reuters,"India's HCLTech to invest $1.48 billion in AI data center, open 5,000-seat tech hub",India's HCLTech said on Friday it would invest 142.57 billion rupees ($1.48 billion) to set up its first AI ‌data center in the eastern state of Odisha in pa...,https://finance.yahoo.com/technology/ai/articles/indias-hcltech-sarvam-set-1-065004157.html,https://s.yimg.com/lo/mysterio/api/F88771BF6775929BB056A2C4760371824DDD32C8ED272718E5008F2483B68591/subgraphmysterio/resizefill_w1200_h800;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Freuters-finance.com%2F8ea948281be87ca47cb879c5f231d955,2026-07-24 06:50:04+00:00,July 24 (Reuters) - India's HCLTech said on Friday it would invest 142.57 billion rupees ($1.48 billion) to set up its first AI data center in the eastern state of Odisha in partnership with homegrow… [+1710 chars]
"{'id': None, 'name': 'CNA'}",Unknown,"AI hiring outpaces overall IT recruitment in India, report shows","BENGALURU, July 3 - Hiring for AI roles within India's IT sector outpaced overall recruitment within the industry last month, a survey showed on Friday, indicating a push from companies to reorient themselves in the face of evolving technology.The sector's AI…",https://www.channelnewsasia.com/business/ai-hiring-outpaces-overall-it-recruitment-in-india-report-shows-6230576,"https://dam.mediacorp.sg/image/upload/s--9iXSsFv2--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-03T121607Z_1_LYNXMPEM620OK_RTROPTP_3_INDIA-HIRING-AI.JPG?itok=E3Nk7-wF",2026-07-03 12:16:54+00:00,"BENGALURU, July 3 - Hiring for AI roles within India's IT sector outpaced overall recruitment within the industry last month, a survey showed on Friday, indicating a push from companies to reorient t… [+1380 chars]"
"{'id': None, 'name': 'CNA'}",Unknown,"Infosys names insider Ashiss Kumar Dash next CEO, trims growth forecast","BENGALURU, July 23 : Infosys named company veteran Ashiss Kumar Dash as its next CEO on Thursday, tapping a three-decade insider to lead India's No. 2 IT firm through an AI-driven upheaval reshaping the technology services industry.The succession plan was ann…",https://www.channelnewsasia.com/business/infosys-names-insider-ashiss-kumar-dash-next-ceo-trims-growth-forecast-6273531,"https://dam.mediacorp.sg/image/upload/s--qXIgPEOa--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-23T110753Z_1_LYNXMPEM6M11B_RTROPTP_3_INDIA-AI.JPG?itok=YRxqXgAq",2026-07-23 11:07:53+00:00,"BENGALURU, July 23 : Infosys named company veteran Ashiss Kumar Dash as its next CEO on Thursday, tapping a three-decade insider to lead India's No. 2 IT firm through an AI-driven upheaval reshaping … [+2548 chars]"
"{'id': None, 'name': 'Economictimes.com'}",Economic Times,TCS Q1 Results Live Updates: Tata Consultancy Services set to post Q1 results today. Check brokerages' estimates,"Tata Consultancy Services Q1 Results Live: TCS is expected to post modest Q1FY27 profit growth with flat sequential revenue, as weak client spending, wage hikes and AI-led pricing pressure keep demand subdued despite healthy deal wins.",https://m.economictimes.com/markets/stocks/live-blog/tcs-q1-results-live-tata-consultancy-services-q1-fy27-revenue-earning-profit-loss-bonus-shares-date-time-9-july-2026/liveblog/132279413.cms,"https://economictimes.indiatimes.com/thumb/msid-132279413,width-1200,height-900,resizemode-4,imglength-22380/markets/stocks/live-blog/tcs-q1-results-live-tata-consultancy-services-q1-fy27-revenue-earning-profit-loss-bonus-shares-date-time-9-july-2026.jpg",2026-07-09 06:46:30+00:00,"Tata Consultancy Services is expected to report modest Q1FY27 earnings, with analysts forecasting 13% year-on-year revenue growth and 4% profit growth, but nearly flat sequential performance. Wage hi… [+497 chars]"
"{'id': None, 'name': 'CNA'}",Unknown,"India's Infosys misses quarterly revenue view, names insider as CEO designate","BENGALURU, July 23 : Infosys reported lower-than-expected quarterly revenue on Thursday as clients held back spending amid disruption from artificial intelligence, and named insider Ashiss Kumar Dash as CEO designate, set to take over in April 2027.Current CE…",https://www.channelnewsasia.com/business/indias-infosys-misses-quarterly-revenue-view-names-insider-ceo-designate-6273531,"https://dam.mediacorp.sg/image/upload/s--qXIgPEOa--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-23T110753Z_1_LYNXMPEM6M11B_RTROPTP_3_INDIA-AI.JPG?itok=YRxqXgAq",2026-07-23 11:07:53+00:00,"BENGALURU, July 23 : Infosys reported lower-than-expected quarterly revenue on Thursday as clients held back spending amid disruption from artificial intelligence, and named insider Ashiss Kumar Dash… [+1569 chars]"
"{'id': None, 'name': 'Begeek.fr'}",Jordan Servan,"Claude ajuste ses prix en Inde, mais le paiement coince encore là-bas","Anthropic affiche enfin Claude en roupies en Inde, son plus gros marché hors États-Unis. Bonne nouvelle, mais l’absence d’UPI freine les abonnements.",https://www.begeek.fr/claude-ajuste-ses-prix-en-inde-mais-le-paiement-coince-encore-la-bas-437198,https://www.begeek.fr/wp-content/uploads/2026/06/anthropic-claude.webp,2026-07-15 12:00:09+00:00,"En bref
<ul><li>Claude arrive enfin en roupies en Inde.</li><li>Les prix dépassent ceux des États-Unis.</li><li>UPI manque encore à l’appel.</li></ul>
En Inde, Claude ne joue plus un rôle secondair… [+2927 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"India's Tata Consultancy Services plans up to 8,900 AI deployment engineers, seeks AI acquisitions","By Sai Ishwarbharath B and Haripriya Suresh
BENGALURU, July 12 (Reuters) - Tata Consultancy Services is building a team of up to 8,900 forward-deployed engineers and hunting for AI acquisitions as it bets artificial intelligence will create new business rathe…",https://biztoc.com/x/f6f8aaafa477c08b,https://biztoc.com/cdn/f6f8aaafa477c08b_s.webp,2026-07-12 08:55:41+00:00,"By Sai Ishwarbharath B and Haripriya SureshBENGALURU, July 12 (Reuters) - Tata Consultancy Services is building a team of up to 8,900 forward-deployed engineers and hunting for AI acquisitions as it … [+151 chars]"
"{'id': None, 'name': 'CHIP Online Deutschland'}",Sebastian Feurer,Obsterkennung und Kampf gegen lange Schlangen: Rewe setzt an der Kasse jetzt voll auf KI,"Rewe baut den Einsatz von Künstlicher Intelligenz im Marktalltag aus. Neue Systeme sollen Kassen entlasten, Warenlücken erkennen und den Einkauf beschleunigen.",https://www.chip.de/news/supermaerkte-lebensmittel/obsterkennung-und-kampf-gegen-lange-schlangen-rewe-setzt-an-der-kasse-jetzt-voll-auf-ki_c8567d25-fbb9-4dd4-9a60-ea6ead7ec5fc.html,"https://quadro.burda-forward.de/ctf/aed326b4-bfbc-4699-b290-1f2bd9d78919.91db49b5-6a64-43dd-b706-254ffd9e6c34.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(793,643)&hash=42a5d54dd3e303b53c5da121ae8b266b43e2650056e166860f160f0a574e6064",2026-07-04 13:58:00+00:00,Die Rewe Group setzt Künstliche Intelligenz in ihren Märkten inzwischen an mehreren Stellen ein und verzahnt die Technik stärker mit dem Tagesgeschäft. Nach Angaben von Digitalvorstand Christoph Eltz… [+3660 chars]
"{'id': None, 'name': 'CHIP Online Deutschland'}",Sebastian Feurer,Automatische Obsterkennung und Kampf gegen lange Schlangen: Rewe setzt an der Kasse jetzt voll auf KI,"Rewe baut den Einsatz von Künstlicher Intelligenz im Marktalltag aus. Neue Systeme sollen Kassen entlasten, Warenlücken erkennen und den Einkauf beschleunigen.",https://www.chip.de/news/supermaerkte-lebensmittel/automatische-obsterkennung-und-kampf-gegen-lange-schlangen-rewe-setzt-an-der-kasse-jetzt-voll-auf-ki_c8567d25-fbb9-4dd4-9a60-ea6ead7ec5fc.html,"https://quadro.burda-forward.de/ctf/aed326b4-bfbc-4699-b290-1f2bd9d78919.91db49b5-6a64-43dd-b706-254ffd9e6c34.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(793,643)&hash=42a5d54dd3e303b53c5da121ae8b266b43e2650056e166860f160f0a574e6064",2026-07-03 16:02:00+00:00,Die Rewe Group setzt Künstliche Intelligenz in ihren Märkten inzwischen an mehreren Stellen ein und verzahnt die Technik stärker mit dem Tagesgeschäft. Nach Angaben von Digitalvorstand Christoph Eltz… [+3660 chars]
"{'id': None, 'name': 'Hwupgrade.it'}",Unknown,AMD porta Helios su Microsoft Azure: la piattaforma rack-scale entra nella sfida con NVIDIA,"AMD e Microsoft rafforzano la collaborazione strategica portando la piattaforma rack-scale Helios nei data center Azure. La soluzione integra GPU Instinct MI455X, CPU EPYC Venice, networking Pensando e software ROCm per l'inferenza AI. Contestualmente arriver…",https://www.hwupgrade.it/news/server-workstation/amd-porta-helios-su-microsoft-azure-la-piattaforma-rack-scale-entra-nella-sfida-con-nvidia_156567.html,https://www.hwupgrade.it/i/n/amd-helios-ces-2026_720.jpg,2026-07-20 13:41:01+00:00,"AMD e Microsoft hanno annunciato un ampliamento della loro collaborazionestrategica nel settore dell'intelligenza artificiale, estendendo la partnership ben oltre i tradizionali processori destinati … [+5086 chars]"
"{'id': None, 'name': 'Diit.cz'}",no-X,Další zpráva o výrobě SoC iPhone 18 u Intelu byl hoax. Máme tu nový trend?,"Je to stále dokola. Odkudsi se vezme zpráva, že Intel získal nové zakázky. Netrvá dlouho a je dementována, ale hodnota akcií, která v důsledku zprávy vyskočila nahoru, už buďto zůstane vyšší, nebo klesne jen částečně. To by mohlo být i důvodem,...",https://diit.cz/clanek/dalsi-zprava-o-vyrobe-soc-iphone-18-u-intelu-byl-hoax-mame-tu-novy-trend,No Image,2026-07-09 08:00:00+00:00,"Je to stále dokola. Odkudsi se vezme zpráva, e Intel získal nové zakázky. Netrvá dlouho a je dementována, ale hodnota akcií, která v dsledku zprávy vyskoila nahoru, u buto zstane vyí, nebo klesne jen… [+1222 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,"IT rally powers markets over 1%; Sensex, Nifty end week with marginal losses","Indian equity indices saw a rise on Friday, boosted by information technology stocks. Tata Consultancy Services' earnings met expectations, easing sector concerns which helped the market. The benchmark indices, however, finished the week marginally lower, end…",https://economictimes.indiatimes.com/markets/stocks/news/it-rally-powers-markets-over-1-sensex-nifty-end-week-with-marginal-losses/articleshow/132323425.cms,"https://img.etimg.com/thumb/msid-132323409,width-1200,height-630,imgsize-1512976,overlay-etmarkets/articleshow.jpg",2026-07-11 02:12:10+00:00,"Mumbai: Indian equity indices rose over 1% on Friday, led by information technology stocks after Tata Consultancy Services' June-quarter earnings met market expectations, easing concerns over a weak … [+519 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Ranjit Shinde,TCS braces for muted June quarter; AI outlook and deal pipeline in focus,"Tata Consultancy Services anticipates slower revenue and profit growth for June 2026 quarter.  Client decision cycles are elongating, impacting project ramp-ups and growth rates.  Revenue is expected to remain flat sequentially, marking a continued trend.  A …",https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-braces-for-muted-june-quarter-ai-outlook-and-deal-pipeline-in-focus/articleshow/132274804.cms,"https://img.etimg.com/thumb/msid-132274805,width-1200,height-630,imgsize-50536,overlay-etmarkets/articleshow.jpg",2026-07-09 00:39:49+00:00,ET Intelligence Group: Tata Consultancy Services (TCS) is expected to report deceleration in revenue and profit growth for the June 2026 quarter amid delays in project ramp-ups as decision cycles of … [+2453 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Debaroti Adhikary,TCS shares in focus as IT major set to announce Q1 earnings today. What to expect?,Tata Consultancy Services will announce its first-quarter results for fiscal year 2027. Analysts anticipate modest profit growth and weak revenue momentum for the IT bellwether. The company's shares have experienced significant declines this year due to vario…,https://economictimes.indiatimes.com/markets/stocks/news/tcs-shares-in-focus-as-it-major-set-to-announce-q1-earnings-today-what-to-expect/articleshow/132276357.cms,"https://img.etimg.com/thumb/msid-132276362,width-1200,height-630,imgsize-245622,overlay-etmarkets/articleshow.jpg",2026-07-09 03:37:55+00:00,"Shares of IT bellwether Tata Consultancy Services will remain in focus on Thursday as the company is all set to announce its results for the April-June quarter of the ongoing financial year 2027, off… [+3670 chars]"
"{'id': None, 'name': 'PRNewswire'}",Unknown,TCS Becomes Technology and Innovation Partner to New York's New Terminal One at JFK Airport,"TCS will strengthen the digital foundation for the new airport terminal, creating a next-generation guest experience that drives airline cost efficiencies and raises the bar for international travel at JFK NEW YORK and MUMBAI, July 14, 2026 /PRNewswire/ -- Th…",https://www.prnewswire.com/news-releases/tcs-becomes-technology-and-innovation-partner-to-new-yorks-new-terminal-one-at-jfk-airport-302824518.html,https://mmx.prnewswire.com/media/MS1772679/The-New-Terminal-One-at-JFK-Logo.jpg?id=OA2761770&p=facebook,2026-07-14 06:00:00+00:00,"TCS will strengthen the digital foundation for the new airport terminal, creating a next-generation guest experience that drives airline cost efficiencies and raises the bar for international travel … [+5909 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,You can’t spell chai latte without AI. That will hurt India,"The AI adoption craze is looming over what’s promising to be another lackluster earnings season for IT services exporters. Last week, Tata Consultancy Services Ltd., the biggest among them, reported 0.4% growth in revenue over the previous three months after …",https://economictimes.indiatimes.com/markets/stocks/news/you-cant-spell-chai-latte-without-ai-that-will-hurt-india/articleshow/132404282.cms,"https://img.etimg.com/thumb/msid-132404279,width-1200,height-630,imgsize-18790,overlay-etmarkets/articleshow.jpg",2026-07-15 02:24:34+00:00,Starbucks Corp. is brewing a tempest in a chai latte cup.The coffee chain is tapping artificial intelligence to develop in-house alternatives to systems by Microsoft and IBM that track inventory and … [+4618 chars]
"{'id': None, 'name': 'BusinessLine'}",Prethicshaa Gurumoorthy,"Top Business & Market Headlines Today — BL Morning Report, July 15, 2026","Stay updated with today’s key developments across geopolitics, technology, economy and global relations. This update covers escalating Iran–US tensions, including renewed concerns over the Strait of Hormuz and warnings of military retaliation, alongside Tata …",https://www.thehindubusinessline.com/multimedia/audio/bl-morning-report-july-13-2026/article71224231.ece,https://bl-i.thgim.com/public/incoming/j4hc4o/article70081359.ece/alternates/LANDSCAPE_1200/PrethicshaaBL%20Morning%20report%20-%20horizontal.jpg,2026-07-15 06:05:15+00:00,"From escalating Iran-US tensions and TCSs artificial intelligence push, to a likely uptick in retail inflation and India-New Zealand deepening strategic ties, here are the key developments across geo… [+2106 chars]"
